stories,highlights
"['affectionately known in his home city of madrid as the wise man of hortaleza luis aragones left the legacy of helping spains ascension to the top of world football', 'aragones whose death at the age of was announced saturday coached his national side to the european championship title in the countrys first success at a major tournament in more than years', 'that breakthrough was continued by his succ']","['former spain national coach luis aragones passes away in madrid on saturday', 'the had been suffering ']"
"['a ferocious leopard may have killed people in nepal in a span its latest victim a boy that the creature dragged away into the jungle to eat', 'the head of boy was found in the forest a kilometer from his home saturday morning said kamal prasad kharel the police chief of the baitadi district an area about kilometers miles west of kathmandu', 'the grisly discovery which came after teams of people searc']","['a boy is the latest victim of a maneating leopard a local police chief says', 'he suspects one leopard']"
"['just when cruise lines thought they might be headed for calmer waters', 'at least passengers and crew members have reported being ill on board princess cruises caribbean princess according to the centers for disease control and prevention', 'the institute said health officers would board the ship in houston to investigate the gastrointestinal illness which is causing vomiting and diarrhea', 'the news f']","['more than of passengers on the caribbean princess report being ill', 'a spokeswoman says the outbreak ']"
"['two car bombs targeting christians killed at least people in southern baghdad on christmas', 'in afghanistan two rounds of indirect fire hit the us embassy compound in kabul but no one was hurt', 'the incidents highlight the security challenges with which both iraq and afghanistan are grappling', 'both countries have had a heavy us military presence until recently', 'the departure of us forces from iraq ']","['us embassy condemns senseless targeting of christians and other iraqis', 'in iraq a car bomb explodes ']"
"['cnnfor the second time during his papacy pope francis has announced a new group of bishops and archbishops set to become cardinals and they come from all over the world', 'pope francis said sunday that he would hold a meeting of cardinals on february during which i will name new cardinals who coming from countries from every continent manifest the indissoluble links between the church of rome and t']","['the new cardinals will be installed on february', 'they come from countries such as myanmar and tonga']"
"['the mayor of the eastern ukrainian city of kharkiv underwent emergency surgery after being shot in the back city officials and police said monday amid continuing unrest in the region', 'the attack on mayor gennady kernes happened around noon local time the kharkiv city office official website said it was not immediately clear who was responsible for the shooting', 'after a twohour operation kernes wa']","['the european union announces its imposing sanctions on people', 'defense ministers from the united sta']"
"['cnnmarco rubio is all in the republican senator from florida has announced that he is seeking the republican presidential nomination running on an optimistic message that he embodies the promise of the american dream', 'with his youthful energy and hispanic roots its tempting to see rubio as the new blood that the gop needs in order to compete against hillary clinton in yet rubio has been his own w']",['raul reyes in seeking latino vote marco rubio his own worst enemy on two key issues immigration ref']
"['kyle white now has two pieces of metal to wear one a bracelet inscribed with the names of his six comrades killed in an ambush in afghanistan the other a medal of honor given to him for his valor that ensured that death toll wasnt higher', 'speaking minutes after president barack obama gave him the highest military honor white insisted the two emblems are equally significant they both represent his']","['new kyle white without this team there would be no medal of honor', 'new he vows to live up to the res']"
"['after a weekend of intense investigation authorities are piecing together more details about fridays fatal shooting at los angeles international airport including the suspects behavior earlier in the week and a warning from his family that may have come minutes too late', 'officers sent to check on paul ciancias welfare arrived at his apartment less than an hour after the shooting started police sa']","['an injured officer says he was shot while trying to help an elderly man move to safety', 'lapd provide']"
"['four chinese nationals of uyghur ethnicity who had been held at the us militarys guantanamo bay cuba detention facility have been resettled in bermuda officials said thursday', 'attorney general eric holder says the us is extremely grateful to the government of bermuda', 'above all this was a humanitarian act bermudan premier ewart brown told cnn in an interview at his cabinet office in hamilton berm']","['new bermudan premier above all this was a humanitarian act', 'uyghurs are native chinese muslims the d']"
"['the worst kept secret in formula one is finally out fernando alonso is leaving ferrari and will be replaced by sebastian vettel', 'red bulls fourtime world champion has signed a threeyear contract with the scuderia the oldest team in from', 'after ending his fiveyear stint at ferrari alonso remains coy on where he will be driving next season', 'the double move by two of the sports high profile world ch']","['sebastian vettel signs a threeyear contract with ferrari from', 'red bulls fourtime world champion rep']"
"['two of turkeys main political parties are pushing for a constitutional amendment to lift bans on headscarves at public universities a move that has caused concern among turkeys secular population', 'the lifting of the ban on headscarves has caused concern among turkeys secular population', 'prime minister recep tayyip erdogan initiated the move saying it would create equality in turkeys higher educat']","['turkeys ruling party agrees to lift ban on head scarves in universities', 'ban introduced after milita']"
"['sony blamed the global economic slowdown increased competition and an appreciating yen for a percent drop in thirdquarter profits as the company announced its results thursday', 'customers check sonys bravia brand lcd tvs at an electronics shop in tokyo japan', 'profits for the quarter which ended december fell from nearly billion yen billion in to about billion yen million in', 'across the company sal']","['sales were down percent across the company', 'electronics and games especially hard hit with sales fal']"
